
100   6400000,1
77598,8108298365   6400371,46957553
77698,8062269702   6400372,32790599
77798,8016122431   6400373,18721346
77898,7969856401   6400374,04749794
77998,792347146   6400374,90875943
78098,7876967454   6400375,77099794
78198,783034423   6400376,63421346
78298,7783601638   6400377,49840598
78398,7736739523   6400378,36357552
78498,7689757734   6400379,22972206
78598,7642656117   6400380,09684562
78698,7595434521   6400380,96494618
78798,7548092793   6400381,83402374
78898,750063078   6400382,70407831
78998,745304833   6400383,57510988
79098,740534529   6400384,44711846
79198,7357521509   6400385,32010404
79298,7309576832   6400386,19406662
79398,7261511108   6400387,0690062
79498,7213324184   6400387,94492279
79598,7165015908   6400388,82181637
79698,7116586127   6400389,69968695
79798,7068034689   6400390,57853452
79898,7019361441   6400391,4583591
79998,697056623   6400392,33916067
80098,6921648905   6400393,22093923
80198,6872609312   6400394,10369479
80298,6823447299   6400394,98742734
80398,6774162714   6400395,87213689
80498,6724755404   6400396,75782342
80598,6675225216   6400397,64448695
80698,6625571999   6400398,53212747
80798,6575795599   6400399,42074497
80898,6525895864   6400400,31033947
80998,6475872641   6400401,20091095
81098,6425725778   6400402,09245942
81198,6375455123   6400402,98498487
81298,6325060523   6400403,87848731
81398,6274541825   6400404,77296673
81498,6223898877   6400405,66842314
81598,6173131527   6400406,56485652
81698,6122239621   6400407,46226689
81798,6071223008   6400408,36065424
81898,6020081534   6400409,26001857
81998,5968815048   6400410,16035988
82098,5917423397   6400411,06167817
82198,5865906428   6400411,96397343
82298,5814263989   6400412,86724567
82398,5762495928   6400413,77149488
82498,5710602091   6400414,67672107
82598,5658582326   6400415,58292424
82698,5606436482   6400416,49010437
82798,5554164404   6400417,39826148
82898,5501765942   6400418,30739556
82998,5449240942   6400419,21750661
83098,5396589252   6400420,12859462
83198,5343810719   6400421,04065961
83298,529090519   6400421,95370156
83398,5237872515   6400422,86772048
83498,5184712538   6400423,78271637
83598,513142511   6400424,69868922
83698,5078010076   6400425,61563904
83798,5024467284   6400426,53356581
83898,4970796582   6400427,45246956
83998,4916997818   6400428,37235026
84098,4863070838   6400429,29320792
84198,4809015491   6400430,21504254
84298,4754831623   6400431,13785412
84398,4700519083   6400432,06164266
84498,4646077717   6400432,98640816
84598,4591507374   6400433,91215061
84698,4536807901   6400434,83887002
84798,4481979145   6400435,76656638
84898,4427020954   6400436,69523969
84998,4371933176   6400437,62488996
85098,4316715657   6400438,55551718
85198,4261368246   6400439,48712135
85298,4205890789   6400440,41970247
85398,4150283135   6400441,35326054
85498,4094545131   6400442,28779556
85598,4038676624   6400443,22330752
85698,3982677462   6400444,15979643
85798,3926547492   6400445,09726229
85898,3870286563   6400446,03570509
85998,381389452   6400446,97512483
86098,3757371213   6400447,91552152
86198,3700716489   6400448,85689515
86298,3643930194   6400449,79924571
86398,3587012177   6400450,74257322
86498,3529962285   6400451,68687767
86598,3472780365   6400452,63215906
86698,3415466265   6400453,57841738
86798,3358019833   6400454,52565264
86898,3300440917   6400455,47386484
86998,3242729362   6400456,42305397
87098,3184885018   6400457,37322003
87198,3126907731   6400458,32436302
87298,306879735   6400459,27648295
87398,3010553721   6400460,22957981
87498,2952176693   6400461,1836536
87598,2893666112   6400462,13870432
87698,2835021826   6400463,09473196
87798,2776243683   6400464,05173654
87898,2717331531   6400465,00971803
