
13389,8602669821   6400027,26419711
13469,0900931789   6400027,50859726
13548,3199173188   6400027,75397473
13627,5497393899   6400028,00032952
13706,7795593799   6400028,24766165
13786,0093772768   6400028,49597111
13865,2391930684   6400028,74525789
13944,4690067428   6400028,995522
14023,6988182877   6400029,24676344
14102,9286276912   6400029,49898221
14182,158434941   6400029,75217831
14261,3882400251   6400030,00635173
14340,6180429314   6400030,26150248
14419,8478436478   6400030,51763056
14499,0776421622   6400030,77473596
14578,3074384624   6400031,03281869
14657,5372325365   6400031,29187875
14736,7670243723   6400031,55191614
14815,9968139577   6400031,81293085
14895,2266012805   6400032,07492288
14974,4563863288   6400032,33789225
15053,6861690904   6400032,60183894
15132,9159495532   6400032,86676295
15212,1457277051   6400033,13266429
15291,375503534   6400033,39954296
15370,6052770278   6400033,66739895
15449,8350481744   6400033,93623226
15529,0648169618   6400034,2060429
15608,2945833777   6400034,47683087
15687,5243474102   6400034,74859616
15766,7541090471   6400035,02133877
15845,9838682763   6400035,29505871
15925,2136250858   6400035,56975597
16004,4433794634   6400035,84543056
16083,673131397   6400036,12208247
16162,9028808745   6400036,3997117
16242,1326278838   6400036,67831826
16321,3623724129   6400036,95790214
16400,5921144496   6400037,23846334
16479,8218539819   6400037,52000186
16559,0515909976   6400037,80251771
16638,2813254846   6400038,08601088
16717,5110574308   6400038,37048137
16796,7407868242   6400038,65592919
16875,9705136527   6400038,94235432
16955,2002379041   6400039,22975678
17034,4299595663   6400039,51813656
17113,6596786273   6400039,80749366
17192,889395075   6400040,09782808
17272,1191088971   6400040,38913982
17351,3488200818   6400040,68142889
17430,5785286168   6400040,97469527
17509,8082344901   6400041,26893898
17589,0379376895   6400041,56416
17668,2676382029   6400041,86035834
17747,4973360184   6400042,15753401
17826,7270311237   6400042,45568699
17905,9567235068   6400042,75481729
17985,1864131555   6400043,05492492
18064,4161000578   6400043,35600986
18143,6457842016   6400043,65807212
18222,8754655748   6400043,9611117
18302,1051441652   6400044,26512859
18381,3348199609   6400044,57012281
18460,5644929496   6400044,87609434
18539,7941631192   6400045,1830432
18619,0238304578   6400045,49096936
18698,2534949531   6400045,79987285
18777,4831565932   6400046,10975365
18856,7128153658   6400046,42061178
18935,9424712589   6400046,73244721
19015,1721242605   6400047,04525997
19094,4017743583   6400047,35905004
19173,6314215403   6400047,67381743
19252,8610657944   6400047,98956213
19332,0907071085   6400048,30628415
19411,3203454705   6400048,62398348
19490,5499808684   6400048,94266013
19569,7796132899   6400049,2623141
19649,009242723   6400049,58294537
19728,2388691557   6400049,90455397
19807,4684925758   6400050,22713988
19886,6981129711   6400050,5507031
19965,9277303298   6400050,87524364
20045,1573446395   6400051,20076149
20124,3869558882   6400051,52725666
20203,6165640639   6400051,85472914
20282,8461691544   6400052,18317893
20362,0757711477   6400052,51260604
20441,3053700315   6400052,84301045
20520,5349657939   6400053,17439218
20599,7645584228   6400053,50675123
20678,9941479059   6400053,84008758
20758,2237342314   6400054,17440125
20837,4533173869   6400054,50969223
20916,6828973605   6400054,84596052
20995,9124741401   6400055,18320612
21075,1420477135   6400055,52142904
21154,3716180686   6400055,86062926
21233,6011851934   6400056,2008068
21312,8307490758   6400056,54196164
21392,0603097036   6400056,8840938
21471,2898670648   6400057,22720326
21550,5194211473   6400057,57129004
21629,7489719389   6400057,91635413
21708,9785194276   6400058,26239552
21788,2080636012   6400058,60941422
21867,4376044477   6400058,95741024
21946,667141955   6400059,30638356
22025,896676111   6400059,65633419
22105,1262069036   6400060,00726212
22184,3557343206   6400060,35916737
22263,5852583501   6400060,71204992
22342,8147789798   6400061,06590978
22422,0442961977   6400061,42074695
22501,2738099917   6400061,77656143
22580,5033203497   6400062,13335321
22659,7328272595   6400062,49112229
22738,9623307092   6400062,84986869
22818,1918306866   6400063,20959239
22897,4213271796   6400063,57029339
22976,6508201761   6400063,93197171
23055,880309664   6400064,29462732
23135,1097956312   6400064,65826025
23214,3392780657   6400065,02287047
23293,5687569552   6400065,388458
23372,7982322878   6400065,75502284
23452,0277040513   6400066,12256498
23531,2571722336   6400066,49108442
23610,4866368227   6400066,86058117
23689,7160978063   6400067,23105522
23768,9455551726   6400067,60250658
23848,1750089092   6400067,97493524
23927,4044590042   6400068,34834119
24006,6339054454   6400068,72272446
24085,8633482208   6400069,09808502
24165,0927873182   6400069,47442289
24244,3222227255   6400069,85173806
24323,5516544308   6400070,23003052
24402,7810824217   6400070,60930029
24482,0105066864   6400070,98954737
24561,2399272125   6400071,37077174
